MJD,cpo_dx,cpo_dy,err_dx,err_dy
54352,-4e-05,-0.000194,4e-05,0.000194
54353,-6.9e-05,-0.000217,6.9e-05,0.000217
54354,-9.7e-05,-0.000235,9.7e-05,0.000235
54355,-9.4e-05,-0.000243,9.4e-05,0.000243
54356,-0.000103,-0.000218,0.000103,0.000218
54357,-0.000153,-0.000136,0.000153,0.000136
54358,-0.000196,-7.5e-05,0.000196,7.5e-05
54359,-0.000209,-6.4e-05,0.000209,6.4e-05
54360,-0.0002,-8.3e-05,0.0002,8.3e-05
54361,-0.000173,-0.000118,0.000173,0.000118
54362,-0.00012,-0.000139,0.00012,0.000139
54363,-5.8e-05,-0.000157,5.8e-05,0.000157
54364,-3e-06,-0.000177,3e-06,0.000177
54365,1.5e-05,-0.000202,1.5e-05,0.000202
54366,5e-06,-0.000227,5e-06,0.000227
54367,-2.2e-05,-0.000246,2.2e-05,0.000246
54368,-6e-05,-0.000255,6e-05,0.000255
54369,-0.000113,-0.000236,0.000113,0.000236
54370,-0.000167,-0.000206,0.000167,0.000206
54371,-0.000212,-0.000174,0.000212,0.000174
54372,-0.000216,-0.000156,0.000216,0.000156
54373,-0.000192,-0.000148,0.000192,0.000148
54374,-0.000158,-0.000145,0.000158,0.000145
54375,-0.00012,-0.000145,0.00012,0.000145
54376,-9.9e-05,-0.000148,9.9e-05,0.000148
54377,-8.6e-05,-0.00015,8.6e-05,0.00015
54378,-7.6e-05,-0.000152,7.6e-05,0.000152
54379,-7.3e-05,-0.000147,7.3e-05,0.000147
54380,-7.5e-05,-0.000137,7.5e-05,0.000137
54381,-7.9e-05,-0.000121,7.9e-05,0.000121
54382,-8.4e-05,-0.0001,8.4e-05,0.0001
54383,-8.8e-05,-7.2e-05,8.8e-05,7.2e-05
54384,-8.9e-05,-3e-05,8.9e-05,3e-05
54385,-8.9e-05,9e-06,8.9e-05,9e-06
54386,-9.3e-05,1.5e-05,9.3e-05,1.5e-05
54387,-0.0001,-6e-06,0.0001,6e-06
54388,-0.000106,-3.8e-05,0.000106,3.8e-05
54389,-0.000111,-7.1e-05,0.000111,7.1e-05
54390,-0.000113,-9.6e-05,0.000113,9.6e-05
54391,-0.000105,-8.9e-05,0.000105,8.9e-05
54392,-9.7e-05,-7.6e-05,9.7e-05,7.6e-05
54393,-0.000104,-9.1e-05,0.000104,9.1e-05
54394,-0.000121,-0.000123,0.000121,0.000123
54395,-0.000134,-0.00015,0.000134,0.00015
54396,-0.000135,-0.000158,0.000135,0.000158
54397,-4.7e-05,-7.5e-05,4.7e-05,7.5e-05
54398,-2.8e-05,-2.8e-05,2.8e-05,2.8e-05
54399,-0.000202,-0.000112,0.000202,0.000112
54400,-0.000355,-0.00018,0.000355,0.00018
54401,-0.000394,-0.000175,0.000394,0.000175
54402,-0.000352,-0.000134,0.000352,0.000134
54403,-0.000241,-7.9e-05,0.000241,7.9e-05
54404,-7.2e-05,-3.6e-05,7.2e-05,3.6e-05
54405,2.9e-05,-7.1e-05,2.9e-05,7.1e-05
54406,2.8e-05,-0.000188,2.8e-05,0.000188
54407,-2.3e-05,-0.000317,2.3e-05,0.000317
54408,-8.3e-05,-0.000398,8.3e-05,0.000398
54409,-0.000114,-0.000374,0.000114,0.000374
54410,-7.8e-05,-0.000188,7.8e-05,0.000188
54411,9.6e-05,0.000282,9.6e-05,0.000282
54412,6.2e-05,0.000324,6.2e-05,0.000324
54413,-0.000116,9.8e-05,0.000116,9.8e-05
54414,-0.000233,-7.2e-05,0.000233,7.2e-05
54415,-0.000236,-0.000113,0.000236,0.000113
54416,-0.000175,-8.4e-05,0.000175,8.4e-05
54417,-8.1e-05,-2.1e-05,8.1e-05,2.1e-05
54418,1.9e-05,3.2e-05,1.9e-05,3.2e-05
54419,3e-06,0.000182,3e-06,0.000182
54420,5.6e-05,0.000128,5.6e-05,0.000128
54421,9e-05,0.0,9e-05,0.0
54422,4.5e-05,-6.5e-05,4.5e-05,6.5e-05
54423,-1.4e-05,-7.8e-05,1.4e-05,7.8e-05
54424,-4.4e-05,-2.7e-05,4.4e-05,2.7e-05
54425,1e-05,0.000107,1e-05,0.000107
54426,6.1e-05,0.000202,6.1e-05,0.000202
54427,7.9e-05,0.000221,7.9e-05,0.000221
54428,7.8e-05,0.000194,7.8e-05,0.000194
