# MJD,    cpo_dx,    cpo_dy
52183, -0.000066,  0.000171
52184, -0.000104,  0.000009
52185, -0.000046, -0.000091
52186, -0.000070, -0.000030
52187, -0.000116,  0.000069
52188, -0.000139,  0.000130
52189, -0.000150,  0.000169
52190, -0.000152,  0.000192
52191, -0.000145,  0.000201
52192, -0.000132,  0.000201
52193, -0.000117,  0.000314
52194, -0.000099,  0.000454
52195, -0.000081,  0.000562
52196, -0.000062,  0.000619
52197, -0.000046,  0.000605
52198, -0.000032,  0.000501
52199, -0.000024,  0.000287
52200, -0.000014, -0.000151
52201, -0.000088,  0.000192
52202, -0.000122,  0.000590
52203, -0.000062,  0.000568
52204,  0.000023,  0.000378
52205,  0.000082,  0.000158
52206,  0.000046,  0.000050
52207,  0.000088,  0.000131
52208,  0.000153,  0.000237
52209,  0.000184,  0.000271
52210,  0.000190,  0.000253
52211,  0.000166,  0.000187
52212,  0.000111,  0.000074
52213,  0.000014, -0.000117
52214, -0.000045, -0.000015
52215, -0.000081,  0.000170
52216, -0.000102,  0.000290
52217, -0.000096,  0.000360
52218, -0.000055,  0.000366
52219,  0.000031,  0.000297
52220,  0.000195,  0.000103
52221,  0.000161,  0.000222
52222,  0.000128,  0.000359
52223,  0.000199,  0.000333
52224,  0.000282,  0.000244
52225,  0.000313,  0.000146
52226,  0.000233,  0.000093
52227, -0.000072,  0.000170
52228, -0.000087,  0.000105
52229,  0.000003,  0.000008
52230,  0.000042, -0.000034
52231,  0.000064, -0.000045
52232,  0.000073, -0.000032
52233,  0.000071, -0.000003
52234,  0.000064,  0.000038
52235,  0.000122,  0.000046
52236,  0.000197,  0.000043
52237,  0.000259,  0.000039
52238,  0.000297,  0.000036
52239,  0.000301,  0.000034
52240,  0.000263,  0.000032
52241,  0.000173,  0.000031
52242,  0.000011,  0.000030
52243, -0.000117,  0.000069
52244, -0.000176,  0.000145
52245, -0.000167,  0.000212
52246, -0.000085,  0.000233
52247,  0.000072,  0.000169
52248,  0.000357, -0.000067
52249,  0.000190,  0.000057
52250, -0.000084,  0.000254
52251, -0.000207,  0.000310
52252, -0.000249,  0.000299
52253, -0.000225,  0.000247
52254, -0.000153,  0.000181
52255, -0.000048,  0.000128
52256,  0.000071,  0.000149
52257,  0.000192,  0.000179
52258,  0.000308,  0.000103
52259,  0.000398, -0.000014
52260,  0.000441, -0.000121
52261,  0.000418, -0.000175
52262,  0.000309, -0.000133
52263,  0.000084,  0.000063
52264, -0.000107,  0.000238
52265, -0.000208,  0.000328
52266, -0.000243,  0.000356
52267, -0.000223,  0.000333
52268, -0.000162,  0.000270
52269, -0.000072,  0.000178
52270,  0.000036,  0.000068
52271,  0.000149, -0.000049
52272,  0.000148, -0.000089
52273,  0.000109, -0.000100
52274,  0.000069, -0.000108
52275,  0.000034, -0.000112
52276,  0.000005, -0.000113
52277, -0.000013, -0.000109
52278, -0.000017, -0.000101
52279,  0.000024, -0.000079
52280,  0.000081, -0.000054
52281,  0.000136, -0.000032
52282,  0.000182, -0.000017
52283,  0.000199, -0.000016
52284,  0.000202, -0.000025
52285,  0.000201, -0.000044
52286,  0.000224, -0.000096
52287,  0.000255, -0.000160
52288,  0.000278, -0.000210
52289,  0.000285, -0.000232
52290,  0.000241, -0.000158
52291,  0.000200, -0.000098
52292,  0.000196, -0.000132
52293,  0.000215, -0.000154
52294,  0.000242, -0.000125
52295,  0.000265, -0.000077
52296,  0.000273, -0.000033
52297,  0.000252, -0.000017
52298,  0.000161, -0.000091
52299,  0.000063, -0.000178
52300,  0.000072, -0.000203
52301,  0.000145, -0.000177
52302,  0.000207, -0.000133
52303,  0.000206, -0.000089
52304,  0.000072, -0.000068
52305,  0.000032, -0.000056
52306,  0.000100, -0.000050
52307,  0.000114, -0.000048
52308,  0.000091, -0.000047
52309,  0.000086, -0.000049
52310,  0.000128, -0.000054
52311,  0.000356, -0.000032
52312,  0.000523, -0.000051
52313,  0.000454, -0.000166
52314,  0.000329, -0.000220
52315,  0.000234, -0.000176
52316,  0.000158, -0.000098
52317,  0.000104, -0.000038
52318,  0.000069, -0.000055
52319,  0.000098, -0.000099
52320,  0.000176, -0.000152
52321,  0.000209, -0.000182
52322,  0.000199, -0.000189
52323,  0.000176, -0.000189
52324,  0.000153, -0.000187
52325,  0.000143, -0.000190
52326,  0.000181, -0.000217
52327,  0.000223, -0.000245
52328,  0.000229, -0.000254
52329,  0.000206, -0.000247
52330,  0.000170, -0.000230
52331,  0.000132, -0.000210
52332,  0.000118, -0.000190
52333,  0.000115, -0.000173
52334,  0.000121, -0.000162
52335,  0.000167, -0.000188
52336,  0.000224, -0.000228
52337,  0.000255, -0.000257
52338,  0.000237, -0.000258
52339,  0.000137, -0.000214
52340,  0.000055, -0.000110
52341,  0.000134, -0.000152
52342,  0.000248, -0.000223
52343,  0.000304, -0.000234
52344,  0.000308, -0.000220
52345,  0.000251, -0.000199
52346,  0.000110, -0.000188
52347,  0.000087, -0.000183
52348,  0.000181, -0.000182
52349,  0.000231, -0.000170
